#time E_out E_hot_out E_cold_out E_colder_out M_out M_out_hot M_out_cold Metal_out Metal_out_hot Metal_out_cold SFR SNR O_rate
265.00  2.080E+44   9.905E+43   1.089E+44   8.527E+42  2.249E-03  1.098E-04  2.140E-03  2.000E-07  3.009E-08  1.699E-07  7.395E-05  1.114E-06  3.570E-06
270.00  4.449E+43   7.416E+41   4.375E+43   1.154E+43  2.074E-03  1.875E-06  2.072E-03  1.424E-07  1.073E-09  1.414E-07  6.529E-05  9.822E-07  3.645E-06
275.00  2.928E+43   0.000E+00   2.928E+43   1.625E+43  2.169E-03  0.000E+00  2.169E-03  1.329E-07  0.000E+00  1.329E-07  6.594E-05  9.877E-07  3.664E-06
280.00  2.457E+43   0.000E+00   2.457E+43   1.669E+43  2.287E-03  0.000E+00  2.287E-03  1.321E-07  0.000E+00  1.321E-07  6.659E-05  9.932E-07  3.682E-06
285.00  2.216E+43   0.000E+00   2.216E+43   1.462E+43  2.348E-03  0.000E+00  2.348E-03  1.408E-07  0.000E+00  1.408E-07  6.725E-05  9.987E-07  3.701E-06
290.00  0.000E+00   0.000E+00   0.000E+00   0.000E+00  2.332E-03  0.000E+00  2.332E-03  1.442E-07  0.000E+00  1.442E-07  6.790E-05  1.004E-06  3.719E-06
295.00  0.000E+00   0.000E+00   0.000E+00   0.000E+00  2.242E-03  0.000E+00  2.242E-03  1.326E-07  0.000E+00  1.326E-07  6.855E-05  1.010E-06  3.738E-06
300.00  1.422E+43   0.000E+00   1.422E+43   6.284E+42  1.934E-03  0.000E+00  1.934E-03  1.054E-07  0.000E+00  1.054E-07  6.921E-05  1.015E-06  3.757E-06
305.00  1.412E+43   0.000E+00   1.412E+43   4.344E+42  1.812E-03  0.000E+00  1.812E-03  9.465E-08  0.000E+00  9.465E-08  6.986E-05  1.021E-06  3.775E-06
310.00  1.595E+43   0.000E+00   1.595E+43   3.454E+42  1.881E-03  0.000E+00  1.881E-03  9.597E-08  0.000E+00  9.597E-08  7.051E-05  1.026E-06  3.794E-06
315.00  2.283E+43   0.000E+00   2.283E+43   3.028E+42  2.173E-03  0.000E+00  2.173E-03  1.117E-07  0.000E+00  1.117E-07  7.117E-05  1.032E-06  3.813E-06
320.00  4.185E+43   6.268E+41   4.122E+43   2.666E+42  2.672E-03  3.348E-06  2.668E-03  1.342E-07  2.186E-09  1.320E-07  7.182E-05  1.037E-06  3.831E-06
325.00  1.260E+44   2.508E+43   1.009E+44   1.993E+42  3.763E-03  4.617E-05  3.717E-03  2.886E-07  7.741E-08  2.112E-07  7.247E-05  1.043E-06  3.850E-06
330.00  9.616E+43   6.645E+42   8.952E+43   2.366E+42  4.222E-03  2.405E-05  4.198E-03  3.065E-07  3.661E-08  2.698E-07  7.313E-05  1.048E-06  3.869E-06
335.00  1.384E+44   1.920E+43   1.192E+44   4.115E+42  4.326E-03  4.116E-05  4.285E-03  4.532E-07  5.459E-08  3.986E-07  7.378E-05  1.054E-06  3.887E-06
340.00  1.323E+44   2.684E+43   1.054E+44   5.954E+42  4.616E-03  5.791E-05  4.559E-03  5.956E-07  1.937E-07  4.020E-07  7.443E-05  1.059E-06  3.906E-06
345.00  9.195E+43   1.348E+43   7.847E+43   1.152E+43  4.434E-03  3.483E-05  4.400E-03  4.141E-07  6.612E-08  3.480E-07  7.508E-05  1.065E-06  3.924E-06
350.00  6.628E+43   1.618E+42   6.466E+43   1.359E+43  4.092E-03  7.226E-06  4.084E-03  3.317E-07  5.322E-09  3.264E-07  7.574E-05  1.070E-06  3.943E-06
355.00  5.797E+43   1.197E+43   4.599E+43   1.147E+43  3.424E-03  3.211E-05  3.392E-03  2.634E-07  1.901E-08  2.444E-07  7.639E-05  1.076E-06  3.962E-06
