# anum & element & 65 & 70 & 75 & 80 & 85 & 90 & 95 & 100 & 105 & 110 & 115 & 120 & 125 & 130
 4  & He &    1.96E0     &    1.55E0     &    1.44E0     &    1.46E0     &    1.44E0     &    1.41E0     &    1.42E0     &    1.47E0     &    1.53E0     &    1.66E0     &    1.77E0     &    2.00E0     &    2.38E0     &    2.82E0     
12  &  C &    6.89E0     &    4.54E0     &    4.32E0     &    4.33E0     &    4.28E0     &    4.21E0     &    4.13E0     &    4.01E0     &    3.85E0     &    3.74E0     &    3.73E0     &    3.71E0     &    3.61E0     &    3.49E0     
13  &  C &    2.33E-7 &    4.19E-7 &    7.44E-7 &    8.86E-7 &    8.48E-7 &    5.78E-7 &    3.59E-7 &    4.31E-7 &    2.30E-7 &    1.60E-7 &    1.64E-7 &    1.51E-7 &    1.38E-7 &    9.36E-8 
14  &  N &    7.84E-5 &    5.04E-5 &    4.31E-5 &    4.15E-5 &    3.78E-5 &    3.46E-5 &    3.23E-5 &    3.10E-5 &    2.92E-5 &    2.75E-5 &    2.42E-5 &    1.95E-5 &    1.41E-5 &    1.10E-5 
15  &  N &    7.27E-7 &    7.03E-6 &    6.69E-6 &    6.69E-6 &    6.57E-6 &    6.45E-6 &    6.41E-6 &    6.43E-6 &    6.51E-6 &    6.76E-6 &    6.99E-6 &    7.19E-6 &    7.03E-6 &    6.65E-6 
16  &  O &    4.92E1 &    4.58E1 &    4.44E1 &    4.68E1 &    4.66E1 &    4.59E1 &    4.52E1 &    4.39E1 &    4.27E1 &    4.11E1 &    3.98E1 &    3.81E1 &    3.59E1 &    3.34E1 
17  &  O &    4.27E-6 &    9.85E-7 &    7.76E-7 &    7.47E-7 &    6.60E-7 &    5.93E-7 &    5.38E-7 &    5.09E-7 &    4.73E-7 &    4.45E-7 &    4.13E-7 &    3.74E-7 &    3.26E-7 &    2.86E-7 
18  &  O &    2.81E-6 &    9.94E-7 &    8.50E-7 &    8.15E-7 &    7.94E-7 &    7.84E-7 &    7.63E-7 &    8.10E-7 &    7.99E-7 &    8.23E-7 &    8.35E-7 &    8.50E-7 &    8.89E-7 &    8.47E-7 
19  &  F &    1.63E-8 &    1.41E-8 &    1.28E-8 &    1.23E-8 &    1.23E-8 &    1.42E-8 &    1.61E-8 &    1.69E-8 &    1.93E-8 &    2.03E-8 &    2.40E-8 &    2.63E-8 &    2.76E-8 &    2.58E-8 
20  & Ne &    4.99E0     &    4.04E0     &    3.89E0     &    4.22E0     &    4.20E0     &    4.10E0     &    3.98E0     &    4.06E0     &    3.86E0     &    3.90E0     &    3.84E0     &    3.88E0     &    3.92E0     &    3.73E0     
21  & Ne &    5.04E-4 &    6.53E-5 &    2.10E-4 &    2.49E-4 &    2.99E-4 &    2.51E-4 &    1.82E-4 &    2.14E-4 &    1.42E-4 &    1.65E-4 &    1.45E-4 &    1.52E-4 &    1.68E-4 &    1.24E-4 
22  & Ne &    1.86E-4 &    2.01E-5 &    1.85E-5 &    1.97E-5 &    2.19E-5 &    2.27E-5 &    2.26E-5 &    2.37E-5 &    2.28E-5 &    2.46E-5 &    2.39E-5 &    2.41E-5 &    2.32E-5 &    2.02E-5 
23  & Na &    9.13E-3 &    3.14E-3 &    2.95E-3 &    3.02E-3 &    2.96E-3 &    2.88E-3 &    2.82E-3 &    2.76E-3 &    2.69E-3 &    2.66E-3 &    2.68E-3 &    2.74E-3 &    2.81E-3 &    2.78E-3 
24  & Mg &    1.53E0     &    3.02E0     &    3.49E0     &    3.67E0     &    3.97E0     &    4.24E0     &    4.38E0     &    4.41E0     &    4.40E0     &    4.31E0     &    4.50E0     &    4.55E0     &    4.42E0     &    4.38E0     
25  & Mg &    3.78E-3 &    1.08E-3 &    3.07E-3 &    2.23E-3 &    3.36E-3 &    4.15E-3 &    4.70E-3 &    4.27E-3 &    4.57E-3 &    4.55E-3 &    4.04E-3 &    3.76E-3 &    3.39E-3 &    3.56E-3 
26  & Mg &    3.71E-3 &    1.74E-3 &    1.69E-3 &    1.73E-3 &    1.79E-3 &    1.92E-3 &    2.06E-3 &    1.92E-3 &    2.05E-3 &    1.91E-3 &    1.94E-3 &    1.86E-3 &    1.72E-3 &    1.73E-3 
27  & Al &    3.37E-2 &    1.77E-2 &    1.66E-2 &    1.59E-2 &    1.67E-2 &    1.72E-2 &    1.77E-2 &    1.63E-2 &    1.66E-2 &    1.55E-2 &    1.50E-2 &    1.42E-2 &    1.29E-2 &    1.34E-2 
28  & Si &    3.15E-1 &    7.97E0     &    1.22E1 &    1.36E1 &    1.65E1 &    1.92E1 &    2.14E1 &    2.31E1 &    2.45E1 &    2.52E1 &    2.57E1 &    2.57E1 &    2.51E1 &    2.42E1 
29  & Si &    1.96E-3 &    2.32E-2 &    2.25E-2 &    2.22E-2 &    2.14E-2 &    2.07E-2 &    2.05E-2 &    1.94E-2 &    1.94E-2 &    1.81E-2 &    1.78E-2 &    1.68E-2 &    1.52E-2 &    1.49E-2 
30  & Si &    6.52E-3 &    2.74E-3 &    1.47E-3 &    1.33E-3 &    1.23E-3 &    1.23E-3 &    1.36E-3 &    1.20E-3 &    1.45E-3 &    1.35E-3 &    1.43E-3 &    1.37E-3 &    1.17E-3 &    1.35E-3 
31  &  P &    2.71E-3 &    2.90E-3 &    2.16E-3 &    1.89E-3 &    1.64E-3 &    1.45E-3 &    1.36E-3 &    1.19E-3 &    1.23E-3 &    1.08E-3 &    1.17E-3 &    1.12E-3 &    9.53E-4 &    1.07E-3 
32  &  S &    9.50E-4 &    2.43E0     &    4.12E0     &    4.70E0     &    6.08E0     &    7.58E0     &    8.85E0     &    9.97E0     &    1.08E1 &    1.14E1 &    1.18E1 &    1.20E1 &    1.18E1 &    1.14E1 
33  &  S &    3.84E-5 &    3.07E-3 &    3.50E-3 &    3.64E-3 &    3.73E-3 &    3.75E-3 &    3.74E-3 &    3.68E-3 &    3.59E-3 &    3.47E-3 &    3.34E-3 &    3.18E-3 &    2.96E-3 &    2.71E-3 
34  &  S &    2.06E-4 &    6.36E-3 &    4.57E-3 &    2.94E-3 &    1.93E-3 &    1.22E-3 &    7.83E-4 &    4.98E-4 &    3.28E-4 &    2.12E-4 &    1.49E-4 &    1.08E-4 &    8.83E-5 &    9.78E-5 
36  &  S &    1.12E-8 &    1.12E-8 &    7.86E-9 &    6.60E-9 &    5.53E-9 &    4.55E-9 &    3.82E-9 &    3.24E-9 &    2.73E-9 &    2.36E-9 &    2.05E-9 &    1.79E-9 &    1.59E-9 &    1.49E-9 
35  & Cl &    5.56E-5 &    9.16E-4 &    9.15E-4 &    7.54E-4 &    6.23E-4 &    4.97E-4 &    3.94E-4 &    3.09E-4 &    2.47E-4 &    1.97E-4 &    1.68E-4 &    1.48E-4 &    1.41E-4 &    1.55E-4 
37  & Cl &    1.05E-7 &    5.59E-4 &    6.41E-4 &    6.69E-4 &    6.85E-4 &    6.90E-4 &    6.86E-4 &    6.76E-4 &    6.55E-4 &    6.32E-4 &    6.08E-4 &    5.78E-4 &    5.36E-4 &    4.91E-4 
